DAX Company,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you_total,you_sing,you_plur,you_formal,other,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achiev,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
Deutsche Bank,1,4018,82.15,91.95,64.16,93.68,18.78,30.96,87.53,53.19,14.48,9.83,0.92,7.09,0.05,0,0.05,0,1.34,1.17,1.14,3.29,10.13,13.69,6.87,4.98,12.94,0.55,12.82,7.52,2.29,0.92,3.58,2.89,5.5,4.48,1,0.32,0.05,0.27,12.62,0.05,0.45,0.17,0.25,13.71,1.94,2.64,1.82,1.34,3.04,3.06,1.07,0.5,0.27,0.27,2.22,0.35,0.3,0.37,0,16.67,8.09,5.53,2.17,1.99,0.72,2.41,3.43,1.42,21.15,2.22,11.77,8.54,8.51,0.27,0.1,5.25,0.22,0.02,0.62,0,0,0,0,0,13.66,5.4,6.3,0.82,0,0,0,0.92,0.05,0,0,0.17
Deutsche Bšrse,1,3785,83.91,95.18,37.6,99,9.16,30.78,85.02,49.75,15.61,11.55,1.19,6.58,0.26,0,0.26,0,3.36,3.06,2.22,2.35,9.91,12.15,6.45,4.23,10.52,0.66,13.03,7.42,1.61,0.74,3.62,3.17,5.97,5.42,0.45,0.13,0.11,0.13,15.96,0.16,0.45,0.4,0.85,11.55,2.01,1.9,1.24,1.9,2.54,1.98,1.08,0.45,0.18,0.34,2.46,0.45,0,0.5,0.03,16.09,8.3,5.13,2.75,1.43,0.42,1.82,4.97,1.19,20.05,2.83,9.93,8.53,8.08,0.61,0.03,3.43,0.32,0,0.95,0,0.03,0.13,0,0,18.23,10.78,4.12,1.37,0,0.34,0.18,0.95,0.37,0.03,0,0.08
Deutsche Post AG,1,3805,83.99,92.98,59.49,98.5,11.09,31.25,83.81,46.33,13.61,9.46,0.71,6.62,0.11,0,0.11,0,1.73,1.6,1.21,2.94,7.91,11.85,6.02,4.63,10.33,0.55,11.67,8.23,2.55,0.47,5.7,3.57,5.97,5.2,0.79,0.16,0.08,0.29,13.53,0.08,0.26,0.26,0.39,13.25,1.47,2.08,1.08,1.84,3.5,2.73,1.1,0.58,0.13,0.34,1.87,0.16,0.47,0.13,0.11,16.19,7.31,5.31,2.79,1.66,1.02,1.37,4.65,1.37,21.29,2.73,11.27,9.25,6.49,0.5,0,3.39,0.13,0.11,0.87,0,0.47,0.08,0,0,17.03,9.67,4.57,1.26,0,0.08,0.03,0.76,0.03,0,0,0.63
Deutsche Telekom,1,3000,88.55,90.65,15.19,90.78,6.51,30.03,86.13,48.3,13.43,8.5,0.87,5.67,0.13,0.03,0.1,0,1.73,1.7,0.87,3.73,9.47,13.43,7.13,3.93,10.9,1.07,13.83,6.5,1.67,0.73,7.27,3.6,4.8,3.97,0.77,0.1,0.17,0.3,13.77,0.2,0.23,0.63,0.4,13.6,1.33,3.07,2.53,1.97,2.97,2.83,1.33,0.43,0.47,0.37,3.03,0.27,0.53,0.63,0.03,14.03,7.1,5.17,1.7,1.17,0.57,1.57,5.43,1.23,16.8,2.3,9.13,6.83,6.93,0.7,0.13,4.63,0.07,0,0.8,0,0.23,0.1,0,0,21.93,15.07,2.57,1.6,0,0.33,0.2,0.9,0.1,0.1,0,1.07
Eon,1,2406,89.58,91.04,17.28,97.21,8.5,33.42,81.26,48.42,12.97,8.77,0.71,6.28,0.04,0,0.04,0,1.58,1.41,1.12,2.87,9.81,12.43,6.32,4.99,10.64,0.42,12.39,7.56,2.41,0.46,3.82,2.66,5.24,4.61,0.58,0.12,0.17,0.17,11.43,0,0.33,0.25,0.33,13.51,1.54,3.2,1.95,1.7,3.37,2.37,1.21,0.5,0.33,0.29,2.33,0.08,0.42,0.29,0.04,15.63,7.07,5.24,2.62,1.21,1.25,2.37,5.36,1.45,16.75,2.37,9.1,7.52,6.57,0.46,0.04,3.08,0.08,0.04,0.67,0,0.04,0.21,0,0,20.12,12.18,2.16,1.21,0.04,0.29,0.54,2.95,0.25,0,0.25,0.25
Fresenius,1,2467,96.88,87.5,51.52,88.77,9.34,34.98,82.29,47.39,12.16,7.3,0.73,4.09,0.12,0,0.12,0,2.11,1.95,1.54,3,10.5,14.47,6.04,4.18,9.97,0.49,12.61,7.94,2.19,0.49,3.08,3.45,5.07,4.01,0.97,0.08,0.12,0.53,11.67,0,0.53,0.41,0.45,12.69,1.66,2.35,1.34,1.58,3,2.27,1.34,0.57,0.2,0.41,4.22,0.28,2.76,0.28,0,13.09,5.19,5.23,2.39,0.81,0.73,1.86,4.3,2.19,21.2,3.12,12.24,7.38,6.08,0.41,0.08,2.15,0.08,0.08,0.45,0,0.04,0.04,0,0,17.27,10.7,2.8,0.93,0,0.04,0.08,2.03,0,0,0.24,0.45
Hannover SE,1,2880,97.93,90.82,34.36,88.98,9.9,37.15,82.85,47.78,12.67,8.54,0.69,5.42,0.03,0,0.03,0,1.7,1.49,1.32,2.85,11.25,13.92,5.17,3.92,9.31,0.45,11.67,7.12,2.08,0.59,4.27,2.22,6.25,4.62,1.56,0.42,0.21,0.59,12.71,0.38,0.56,0.28,0.59,14.17,2.22,2.67,1.28,1.67,3.4,2.47,1.18,0.73,0.24,0.17,1.81,0.14,0.24,0.28,0,15.97,6.15,5.52,2.47,1.84,1.6,1.84,3.89,1.6,17.92,2.78,11.11,5.42,6.77,0.35,0.07,3.68,0.21,0.28,0.28,0,0,0,0,0,16.77,10,3.47,0.66,0,0.17,0.03,1.25,0.21,0,0,0.97
HeidelbergCement AG,1,620,99,88.64,83.43,62.48,22.96,39.35,77.26,38.71,8.39,6.29,0,5.65,0,0,0,0,0.32,0.32,0,0.97,7.58,17.74,3.55,2.26,9.03,0,9.03,9.19,2.58,0.16,10.16,1.13,3.55,2.58,0.81,0,0.16,0.48,7.58,0.16,0.16,0,0.16,8.39,0.81,1.45,0.65,1.13,1.13,1.61,1.13,0.32,0.48,0.32,0.81,0,0,0,0.32,17.1,7.26,6.77,3.23,0.81,0.65,1.45,2.26,1.45,25.48,3.55,15.48,9.68,8.39,0.32,0,3.06,0.32,0,2.74,0,2.58,0,0,0,20,4.68,3.39,1.45,0,0,0,6.77,0,0,1.29,2.42
Henkel,1,5479,91.12,90.09,51.99,88.13,10.3,36.01,86.22,49.33,13.36,8.85,1.13,5.69,0.09,0,0.09,0,1.66,1.48,0.88,3.03,10.06,14.24,6.48,4.42,11.92,0.44,12.43,8.09,2.28,0.53,3.91,3.01,4.78,3.83,0.84,0.07,0.13,0.44,12.58,0.16,0.8,0.55,0.71,14.09,1.84,2.1,1.37,2.19,3.03,2.72,1.22,0.31,0.27,0.49,1.55,0.2,0.15,0.2,0.07,16.19,7.19,5.68,2.97,1.35,0.62,2.97,2.92,1.55,19.78,2.37,10.91,7.9,8.58,0.47,0.22,3.5,0.22,0.09,0.6,0,0.04,0.09,0,0,14.78,9.78,3.05,0.46,0,0.09,0.07,0.93,0.05,0,0.04,0.31
Mercedes Benz Group,1,11,,,,,11,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
